client_account_id,client_account_name,is_cemo_base,cemo_base_segment,client_workstream,is_claims_present,n_outreach_members,n_addressable_paid,n_addressable_recommended,n_eligible_distinct_members,n_avg_members_eligible,n_eop_members_eligible,pct_outreach_on_distinct_ever,pct_outreach_on_avg_monthly_br,pct_outreach_on_eop_dec,pct_addressable_paid_on_distinct_ever,pct_addressable_paid_on_avg_monthly_br,pct_addressable_paid_on_eop_dec,pct_addressable_recommended_on_distinct_ever,pct_addressable_recommended_on_avg_monthly_br,pct_addressable_recommended_on_eop_dec,book_benchmark_pct_portfolio,book_benchmark_pct_median_client
SALESCLOUD_ACCOUNT_ID:00140000010eX5fAAE,Great River Energy,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001XcFkBAAV,"Hays Companies - Minneapolis, MN (HQ)",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001W1ECVAA3,"Hologic, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,17,0,,10006,8456.0,8350.0,0.0017,0.002,0.002,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0015d00003Qa2MKAAZ,Humana Employees,False,NAV_PLUS_CEMO,WITHOUT_CLAIMS,False,94,0,,127460,101769.0,15829.0,0.0007,0.0009,0.0059,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001hZQDWAA4,"Hunter Douglas, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001W1ks1AAB,"Intuitive Surgical, Inc.",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0011W00001uP59mQAC,Invitae Corporation,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001mLXuhAAG,Jet Propulsion Lab,True,CEMO_BASE,WITHOUT_CLAIMS,False,4,0,,11596,10342.0,9738.0,0.0003,0.0004,0.0004,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001inpNqAAI,Jewish Federation of Metropolitan Chicago,True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,839,704.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001bRNviAAG,"KeHE Distributors, LLC",True,CEMO_BASE,WITHOUT_CLAIMS,False,0,0,,0,0.0,0.0,,,,,,,,,,0.20448621785288032,0.2204
SALESCLOUD_ACCOUNT_ID:0014000001qbGAgAAM,"Lake County, IN NECA-IBEW Health & Benefits Plan",True,CEMO_BASE,WITHOUT_CLAIMS,False,5,0,,3098,2873.0,2926.0,0.0016,0.0017,0.0017,0.0,0.0,0.0,,,,0.20448621785288032,0.2204
